saleDate_SK,saleDate_NK,sale_calendarYear,sale_calendarQuarter,sale_calendarMonth,sale_calendarWeek,sale_calendarDay,sale_fiscalYear,sale_fiscalQuarter,sale_fiscalMonth,sale_fiscalWeek,sale_fiscalDay
1,2005-01-01,2005,1,01,1,01,2005,1,01,1,01
2,2005-01-02,2005,1,01,1,02,2005,1,01,1,02
3,2005-01-03,2005,1,01,1,03,2005,1,01,1,03
4,2005-01-04,2005,1,01,1,04,2005,1,01,1,04
5,2005-01-05,2005,1,01,1,05,2005,1,01,1,05
6,2005-01-06,2005,1,01,1,06,2005,1,01,1,06
7,2005-01-07,2005,1,01,1,07,2005,1,01,1,07
8,2005-01-08,2005,1,01,2,08,2005,1,01,2,08
9,2005-01-09,2005,1,01,2,09,2005,1,01,2,09
10,2005-01-10,2005,1,01,2,10,2005,1,01,2,10
11,2005-01-11,2005,1,01,2,11,2005,1,01,2,11
12,2005-01-12,2005,1,01,2,12,2005,1,01,2,12
13,2005-01-13,2005,1,01,2,13,2005,1,01,2,13
14,2005-01-14,2005,1,01,2,14,2005,1,01,2,14
15,2005-01-15,2005,1,01,3,15,2005,1,01,3,15
16,2005-01-16,2005,1,01,3,16,2005,1,01,3,16
17,2005-01-17,2005,1,01,3,17,2005,1,01,3,17
18,2005-01-18,2005,1,01,3,18,2005,1,01,3,18
19,2005-01-19,2005,1,01,3,19,2005,1,01,3,19
20,2005-01-20,2005,1,01,3,20,2005,1,01,3,20
21,2005-01-21,2005,1,01,3,21,2005,1,01,3,21
22,2005-01-22,2005,1,01,4,22,2005,1,01,4,22
23,2005-01-23,2005,1,01,4,23,2005,1,01,4,23
24,2005-01-24,2005,1,01,4,24,2005,1,01,4,24
25,2005-01-25,2005,1,01,4,25,2005,1,01,4,25
26,2005-01-26,2005,1,01,4,26,2005,1,01,4,26
27,2005-01-27,2005,1,01,4,27,2005,1,01,4,27
28,2005-01-28,2005,1,01,4,28,2005,1,01,4,28
29,2005-01-29,2005,1,01,5,29,2005,1,01,5,29
30,2005-01-30,2005,1,01,5,30,2005,1,01,5,30
31,2005-01-31,2005,1,01,5,31,2005,1,01,5,31
32,2005-02-01,2005,1,02,1,01,2005,1,02,1,01
33,2005-02-02,2005,1,02,1,02,2005,1,02,1,02
34,2005-02-03,2005,1,02,1,03,2005,1,02,1,03
35,2005-02-04,2005,1,02,1,04,2005,1,02,1,04
36,2005-02-05,2005,1,02,1,05,2005,1,02,1,05
37,2005-02-06,2005,1,02,1,06,2005,1,02,1,06
38,2005-02-07,2005,1,02,1,07,2005,1,02,1,07
39,2005-02-08,2005,1,02,2,08,2005,1,02,2,08
40,2005-02-09,2005,1,02,2,09,2005,1,02,2,09
41,2005-02-10,2005,1,02,2,10,2005,1,02,2,10
42,2005-02-11,2005,1,02,2,11,2005,1,02,2,11
43,2005-02-12,2005,1,02,2,12,2005,1,02,2,12
44,2005-02-13,2005,1,02,2,13,2005,1,02,2,13
45,2005-02-14,2005,1,02,2,14,2005,1,02,2,14
46,2005-02-15,2005,1,02,3,15,2005,1,02,3,15
47,2005-02-16,2005,1,02,3,16,2005,1,02,3,16
48,2005-02-17,2005,1,02,3,17,2005,1,02,3,17
49,2005-02-18,2005,1,02,3,18,2005,1,02,3,18
50,2005-02-19,2005,1,02,3,19,2005,1,02,3,19
51,2005-02-20,2005,1,02,3,20,2005,1,02,3,20
52,2005-02-21,2005,1,02,3,21,2005,1,02,3,21
53,2005-02-22,2005,1,02,4,22,2005,1,02,4,22
54,2005-02-23,2005,1,02,4,23,2005,1,02,4,23
55,2005-02-24,2005,1,02,4,24,2005,1,02,4,24
56,2005-02-25,2005,1,02,4,25,2005,1,02,4,25
57,2005-02-26,2005,1,02,4,26,2005,1,02,4,26
58,2005-02-27,2005,1,02,4,27,2005,1,02,4,27
59,2005-02-28,2005,1,02,4,28,2005,1,02,4,28
60,2005-03-01,2005,1,03,1,01,2005,1,03,1,01
61,2005-03-02,2005,1,03,1,02,2005,1,03,1,02
62,2005-03-03,2005,1,03,1,03,2005,1,03,1,03
63,2005-03-04,2005,1,03,1,04,2005,1,03,1,04
64,2005-03-05,2005,1,03,1,05,2005,1,03,1,05
65,2005-03-06,2005,1,03,1,06,2005,1,03,1,06
66,2005-03-07,2005,1,03,1,07,2005,1,03,1,07
67,2005-03-08,2005,1,03,2,08,2005,1,03,2,08
68,2005-03-09,2005,1,03,2,09,2005,1,03,2,09
69,2005-03-10,2005,1,03,2,10,2005,1,03,2,10
70,2005-03-11,2005,1,03,2,11,2005,1,03,2,11
71,2005-03-12,2005,1,03,2,12,2005,1,03,2,12
72,2005-03-13,2005,1,03,2,13,2005,1,03,2,13
73,2005-03-14,2005,1,03,2,14,2005,1,03,2,14
74,2005-03-15,2005,1,03,3,15,2005,1,03,3,15
75,2005-03-16,2005,1,03,3,16,2005,1,03,3,16
76,2005-03-17,2005,1,03,3,17,2005,1,03,3,17
77,2005-03-18,2005,1,03,3,18,2005,1,03,3,18
78,2005-03-19,2005,1,03,3,19,2005,1,03,3,19
79,2005-03-20,2005,1,03,3,20,2005,1,03,3,20
80,2005-03-21,2005,1,03,3,21,2005,1,03,3,21
81,2005-03-22,2005,1,03,4,22,2005,1,03,4,22
82,2005-03-23,2005,1,03,4,23,2005,1,03,4,23
83,2005-03-24,2005,1,03,4,24,2005,1,03,4,24
84,2005-03-25,2005,1,03,4,25,2005,1,03,4,25
85,2005-03-26,2005,1,03,4,26,2005,1,03,4,26
86,2005-03-27,2005,1,03,4,27,2005,1,03,4,27
87,2005-03-28,2005,1,03,4,28,2005,1,03,4,28
88,2005-03-29,2005,1,03,5,29,2005,1,03,5,29
89,2005-03-30,2005,1,03,5,30,2005,1,03,5,30
90,2005-03-31,2005,1,03,5,31,2005,1,03,5,31
91,2005-04-01,2005,2,04,1,01,2005,2,04,1,01
92,2005-04-02,2005,2,04,1,02,2005,2,04,1,02
93,2005-04-03,2005,2,04,1,03,2005,2,04,1,03
94,2005-04-04,2005,2,04,1,04,2005,2,04,1,04
95,2005-04-05,2005,2,04,1,05,2005,2,04,1,05
96,2005-04-06,2005,2,04,1,06,2005,2,04,1,06
97,2005-04-07,2005,2,04,1,07,2005,2,04,1,07
98,2005-04-08,2005,2,04,2,08,2005,2,04,2,08
99,2005-04-09,2005,2,04,2,09,2005,2,04,2,09
100,2005-04-10,2005,2,04,2,10,2005,2,04,2,10
101,2005-04-11,2005,2,04,2,11,2005,2,04,2,11
102,2005-04-12,2005,2,04,2,12,2005,2,04,2,12
103,2005-04-13,2005,2,04,2,13,2005,2,04,2,13
104,2005-04-14,2005,2,04,2,14,2005,2,04,2,14
105,2005-04-15,2005,2,04,3,15,2005,2,04,3,15
106,2005-04-16,2005,2,04,3,16,2005,2,04,3,16
107,2005-04-17,2005,2,04,3,17,2005,2,04,3,17
108,2005-04-18,2005,2,04,3,18,2005,2,04,3,18
109,2005-04-19,2005,2,04,3,19,2005,2,04,3,19
110,2005-04-20,2005,2,04,3,20,2005,2,04,3,20
111,2005-04-21,2005,2,04,3,21,2005,2,04,3,21
112,2005-04-22,2005,2,04,4,22,2005,2,04,4,22
113,2005-04-23,2005,2,04,4,23,2005,2,04,4,23
114,2005-04-24,2005,2,04,4,24,2005,2,04,4,24
115,2005-04-25,2005,2,04,4,25,2005,2,04,4,25
116,2005-04-26,2005,2,04,4,26,2005,2,04,4,26
117,2005-04-27,2005,2,04,4,27,2005,2,04,4,27
118,2005-04-28,2005,2,04,4,28,2005,2,04,4,28
119,2005-04-29,2005,2,04,5,29,2005,2,04,5,29
120,2005-04-30,2005,2,04,5,30,2005,2,04,5,30
121,2005-05-01,2005,2,05,1,01,2005,2,05,1,01
122,2005-05-02,2005,2,05,1,02,2005,2,05,1,02
123,2005-05-03,2005,2,05,1,03,2005,2,05,1,03
124,2005-05-04,2005,2,05,1,04,2005,2,05,1,04
125,2005-05-05,2005,2,05,1,05,2005,2,05,1,05
126,2005-05-06,2005,2,05,1,06,2005,2,05,1,06
127,2005-05-07,2005,2,05,1,07,2005,2,05,1,07
128,2005-05-08,2005,2,05,2,08,2005,2,05,2,08
129,2005-05-09,2005,2,05,2,09,2005,2,05,2,09
130,2005-05-10,2005,2,05,2,10,2005,2,05,2,10
131,2005-05-11,2005,2,05,2,11,2005,2,05,2,11
132,2005-05-12,2005,2,05,2,12,2005,2,05,2,12
133,2005-05-13,2005,2,05,2,13,2005,2,05,2,13
134,2005-05-14,2005,2,05,2,14,2005,2,05,2,14
135,2005-05-15,2005,2,05,3,15,2005,2,05,3,15
136,2005-05-16,2005,2,05,3,16,2005,2,05,3,16
137,2005-05-17,2005,2,05,3,17,2005,2,05,3,17
138,2005-05-18,2005,2,05,3,18,2005,2,05,3,18
139,2005-05-19,2005,2,05,3,19,2005,2,05,3,19
140,2005-05-20,2005,2,05,3,20,2005,2,05,3,20
141,2005-05-21,2005,2,05,3,21,2005,2,05,3,21
142,2005-05-22,2005,2,05,4,22,2005,2,05,4,22
143,2005-05-23,2005,2,05,4,23,2005,2,05,4,23
144,2005-05-24,2005,2,05,4,24,2005,2,05,4,24
145,2005-05-25,2005,2,05,4,25,2005,2,05,4,25
146,2005-05-26,2005,2,05,4,26,2005,2,05,4,26
147,2005-05-27,2005,2,05,4,27,2005,2,05,4,27
148,2005-05-28,2005,2,05,4,28,2005,2,05,4,28
149,2005-05-29,2005,2,05,5,29,2005,2,05,5,29
150,2005-05-30,2005,2,05,5,30,2005,2,05,5,30
151,2005-05-31,2005,2,05,5,31,2005,2,05,5,31
152,2005-06-01,2005,2,06,1,01,2005,2,06,1,01
153,2005-06-02,2005,2,06,1,02,2005,2,06,1,02
154,2005-06-03,2005,2,06,1,03,2005,2,06,1,03
155,2005-06-04,2005,2,06,1,04,2005,2,06,1,04
156,2005-06-05,2005,2,06,1,05,2005,2,06,1,05
157,2005-06-06,2005,2,06,1,06,2005,2,06,1,06
158,2005-06-07,2005,2,06,1,07,2005,2,06,1,07
159,2005-06-08,2005,2,06,2,08,2005,2,06,2,08
160,2005-06-09,2005,2,06,2,09,2005,2,06,2,09
161,2005-06-10,2005,2,06,2,10,2005,2,06,2,10
162,2005-06-11,2005,2,06,2,11,2005,2,06,2,11
163,2005-06-12,2005,2,06,2,12,2005,2,06,2,12
164,2005-06-13,2005,2,06,2,13,2005,2,06,2,13
165,2005-06-14,2005,2,06,2,14,2005,2,06,2,14
166,2005-06-15,2005,2,06,3,15,2005,2,06,3,15
167,2005-06-16,2005,2,06,3,16,2005,2,06,3,16
168,2005-06-17,2005,2,06,3,17,2005,2,06,3,17
169,2005-06-18,2005,2,06,3,18,2005,2,06,3,18
170,2005-06-19,2005,2,06,3,19,2005,2,06,3,19
171,2005-06-20,2005,2,06,3,20,2005,2,06,3,20
172,2005-06-21,2005,2,06,3,21,2005,2,06,3,21
173,2005-06-22,2005,2,06,4,22,2005,2,06,4,22
174,2005-06-23,2005,2,06,4,23,2005,2,06,4,23
175,2005-06-24,2005,2,06,4,24,2005,2,06,4,24
176,2005-06-25,2005,2,06,4,25,2005,2,06,4,25
177,2005-06-26,2005,2,06,4,26,2005,2,06,4,26
178,2005-06-27,2005,2,06,4,27,2005,2,06,4,27
179,2005-06-28,2005,2,06,4,28,2005,2,06,4,28
180,2005-06-29,2005,2,06,5,29,2005,2,06,5,29
181,2005-06-30,2005,2,06,5,30,2005,2,06,5,30
182,2005-07-01,2005,3,07,1,01,2005,3,07,1,01
183,2005-07-02,2005,3,07,1,02,2005,3,07,1,02
184,2005-07-03,2005,3,07,1,03,2005,3,07,1,03
185,2005-07-04,2005,3,07,1,04,2005,3,07,1,04
186,2005-07-05,2005,3,07,1,05,2005,3,07,1,05
187,2005-07-06,2005,3,07,1,06,2005,3,07,1,06
188,2005-07-07,2005,3,07,1,07,2005,3,07,1,07
189,2005-07-08,2005,3,07,2,08,2005,3,07,2,08
190,2005-07-09,2005,3,07,2,09,2005,3,07,2,09
191,2005-07-10,2005,3,07,2,10,2005,3,07,2,10
192,2005-07-11,2005,3,07,2,11,2005,3,07,2,11
193,2005-07-12,2005,3,07,2,12,2005,3,07,2,12
194,2005-07-13,2005,3,07,2,13,2005,3,07,2,13
195,2005-07-14,2005,3,07,2,14,2005,3,07,2,14
196,2005-07-15,2005,3,07,3,15,2005,3,07,3,15
197,2005-07-16,2005,3,07,3,16,2005,3,07,3,16
198,2005-07-17,2005,3,07,3,17,2005,3,07,3,17
199,2005-07-18,2005,3,07,3,18,2005,3,07,3,18
200,2005-07-19,2005,3,07,3,19,2005,3,07,3,19
201,2005-07-20,2005,3,07,3,20,2005,3,07,3,20
202,2005-07-21,2005,3,07,3,21,2005,3,07,3,21
203,2005-07-22,2005,3,07,4,22,2005,3,07,4,22
204,2005-07-23,2005,3,07,4,23,2005,3,07,4,23
205,2005-07-24,2005,3,07,4,24,2005,3,07,4,24
206,2005-07-25,2005,3,07,4,25,2005,3,07,4,25
207,2005-07-26,2005,3,07,4,26,2005,3,07,4,26
