saleOrderAttributes_SK,orderDate_SK,saleDate_SK,product_SK,customer_SK,invoiceID,amt,qty,discounted,division
1,8,3,18,65,44796,67363.2,146,0,PEC 
1,8,6,46,47,52166,13025.7,23,0,PEC 
1,14,12,151,6,4913,34206.4,172,0,PEC 
1,14,14,136,94,52511,9223.1,26,0,PEC 
1,15,4,114,47,52168,111029.8,190,0,PEC 
1,19,20,71,57,36098,47875.7,94,0,PEC 
1,20,19,97,101,36662,13606.4,111,0,PEC 
1,20,20,1,94,17560,2444.9,12,0,PEC 
1,21,7,22,17,14299,38177.7,132,0,PEC 
1,23,11,79,73,42176,34348.1,171,0,PEC 
1,24,4,79,42,46357,16473.8,82,0,PEC 
1,26,16,83,54,3995,49389.7,116,0,PEC 
1,27,20,60,29,48102,6604.6,40,0,PEC 
1,27,20,140,29,48102,18355.6,36,0,PEC 
1,27,20,92,29,48102,36990.4,185,0,PEC 
1,28,25,25,55,13053,6568.4,16,0,PEC 
1,29,13,39,57,3023,76506.5,178,0,PEC 
1,31,16,103,29,27591,48632,140,0,PEC 
1,31,16,31,29,27591,91782,157,0,PEC 
1,33,18,68,94,52515,8138,35,0,PEC 
1,34,11,27,6,4912,92762.9,164,0,PEC 
1,34,22,129,55,23151,6224.6,22,0,PEC 
1,36,8,62,1,25744,32729.3,56,0,PEC 
1,37,29,89,99,46604,43811.2,96,0,PEC 
1,38,32,137,22,7122,11568,51,0,PEC 
1,38,32,30,22,7122,19660.6,45,0,PEC 
1,38,38,36,57,41774,37145.7,130,0,PEC 
1,40,14,92,65,51422,22805.5,114,0,PEC 
1,40,21,97,99,46597,11639.6,95,0,PEC 
1,40,21,11,99,46597,35198.7,70,0,PEC 
1,40,22,88,45,38811,15676.6,53,0,PEC 
1,41,18,129,10,30852,34473.3,122,0,PEC 
1,41,25,140,24,2331,49456,97,0,PEC 
1,41,25,151,24,2331,3780.4,19,0,PEC 
1,42,28,97,74,43094,12126.1,99,0,PEC 
1,44,18,46,74,890,86597.4,153,0,PEC 
1,44,33,25,39,30728,41029.7,100,0,PEC 
1,44,38,97,101,53312,12877.9,105,0,PEC 
1,47,35,43,99,40598,53177.1,95,0,PEC 
1,48,25,89,10,8924,50199.7,110,0,PEC 
1,48,25,120,10,8924,50634.4,159,0,PEC 
1,48,25,18,10,8924,41062.9,89,0,PEC 
1,49,23,30,22,20325,38411.9,88,0,PEC 
1,49,27,68,56,9533,11397.9,49,0,PEC 
1,49,30,79,6,19270,3821.9,19,0,PEC 
1,49,30,36,6,19270,36281.6,127,0,PEC 
1,50,41,49,42,18055,3641.7,22,0,PEC 
1,51,51,92,55,43823,17196.5,86,0,PEC 
1,52,45,151,81,8344,7954.5,40,0,PEC 
1,54,32,147,54,3783,80199.1,161,0,PEC 
1,62,38,137,54,3778,4774.7,21,0,PEC 
1,62,40,145,81,43336,41442.7,151,0,PEC 
1,62,44,5,38,41624,43148.3,152,0,PEC 
1,63,48,60,10,49137,5776.6,35,0,PEC 
1,64,40,25,27,10149,58275.5,142,0,PEC 
1,64,40,110,27,10149,48351.4,142,0,PEC 
1,65,46,27,22,54981,33376.2,59,0,PEC 
1,65,46,133,42,40016,48702.1,101,0,PEC 
1,66,39,18,62,27401,47530.8,103,0,PEC 
1,66,43,79,101,55021,33121,165,0,PEC 
1,69,42,137,46,42321,3416.3,15,0,PEC 
1,70,41,103,5,41241,69111.6,199,0,PEC 
1,70,50,147,94,7274,26403.8,53,0,PEC 
1,73,64,100,29,12609,47530.4,127,0,PEC 
1,73,64,14,29,12609,27531.2,140,0,PEC 
1,76,59,68,84,4251,31125.1,134,0,PEC 
1,76,59,137,84,4251,8166.4,36,0,PEC 
1,76,68,110,23,43732,50410,148,0,PEC 
1,76,69,147,10,22059,78206.6,157,0,PEC 
1,76,69,133,42,16727,58848.7,122,0,PEC 
1,77,59,46,94,42254,14723.8,26,0,PEC 
1,77,59,14,94,42254,23405.3,119,0,PEC 
1,77,60,46,57,32868,79814.2,141,0,PEC 
1,77,61,31,84,9715,64906.1,111,0,PEC 
1,77,62,1,99,23901,7670.1,38,0,PEC 
1,77,62,5,99,23901,37189.8,131,0,PEC 
1,77,63,124,55,44492,35764.6,144,0,PEC 
1,78,70,27,39,4643,96143.8,170,0,PEC 
1,78,70,11,39,4643,60332.3,120,0,PEC 
1,78,71,22,42,16726,24586.3,85,0,PEC 
1,79,50,39,20,14271,29233.6,68,0,PEC 
1,79,50,114,20,14271,61359.8,105,0,PEC 
1,79,59,103,29,18037,34391.4,99,0,PEC 
1,80,70,54,99,11040,68595,126,0,PEC 
1,81,55,145,91,17904,22229.6,81,0,PEC 
1,81,55,18,91,17904,83986,182,0,PEC 
1,81,81,110,46,6448,46316.3,136,0,PEC 
1,82,79,68,91,35650,14873.4,64,0,PEC 
1,82,82,31,56,47408,25137.6,43,0,PEC 
1,83,64,124,12,44261,20117.3,81,0,PEC 
1,83,71,100,32,22570,31065.6,83,0,PEC 
1,83,71,62,32,22570,8767.6,15,0,PEC 
1,85,71,88,9,26840,39016,132,0,PEC 
1,85,71,136,9,26840,36516.9,103,0,PEC 
1,86,65,71,99,23897,66213.6,130,0,PEC 
1,87,61,140,47,47235,71389.4,140,0,PEC 
1,87,62,147,12,44255,95136,191,0,PEC 
1,87,87,43,55,52720,20729.5,37,0,PEC 
1,88,64,62,77,55225,31557.9,54,0,PEC 
1,88,66,22,34,53224,29507.5,102,0,PEC 
1,89,71,97,10,22022,19349.5,158,0,PEC 
1,89,78,1,65,11553,16148.8,80,0,PEC 
1,89,82,136,6,20583,28710.5,81,0,PEC 
1,91,87,89,45,21155,67532.7,148,0,PEC 
1,93,66,31,42,51688,61386.8,105,0,PEC 
1,95,76,31,23,23831,62566.4,107,0,PEC 
1,95,93,114,3,19294,113977.6,195,0,PEC 
1,98,92,79,42,136,5041.4,25,0,PEC 
1,99,94,145,23,16744,35687.4,130,0,PEC 
1,100,75,30,38,43365,61546.4,141,0,PEC 
1,100,75,136,38,43365,41823.1,118,0,PEC 
1,102,89,66,27,7488,13251.6,110,0,PEC 
1,103,81,1,56,47407,20188.3,100,0,PEC 
1,103,98,49,55,31933,18017.8,109,0,PEC 
1,104,76,137,29,33115,43775.9,193,0,PEC 
1,105,97,137,57,19477,37414.1,165,0,PEC 
1,107,108,120,9,17246,51906.4,163,0,PEC 
1,108,83,83,99,46050,22143.1,52,0,PEC 
1,108,104,30,95,1830,77678.9,178,0,PEC 
1,109,90,60,34,32615,17828.7,108,0,PEC 
1,109,101,147,47,22821,68261.5,137,0,PEC 
1,110,88,18,23,3147,59522,129,0,PEC 
1,110,91,54,99,52149,67503.2,124,0,PEC 
1,111,91,11,5,49934,74383.6,148,0,PEC 
1,111,100,92,99,17201,20395.1,102,0,PEC 
1,111,100,97,99,17201,5279.2,43,0,PEC 
1,112,91,6,6,6573,42640.6,143,0,PEC 
1,112,108,27,34,31184,52034.8,92,0,PEC 
1,112,108,124,34,31184,34008.9,137,0,PEC 
1,114,90,46,77,20214,68489.7,121,0,PEC 
1,114,92,18,24,13364,51222.3,111,0,PEC 
1,115,108,6,3,48350,17309.4,58,0,PEC 
1,116,104,60,42,35019,3798.7,23,0,PEC 
1,116,111,97,6,21034,3700.1,30,0,PEC 
1,116,112,1,39,45696,28666.2,142,0,PEC 
1,117,98,6,57,19482,56037.3,188,0,PEC 
1,117,100,110,32,22474,29964.6,88,0,PEC 
1,117,100,133,32,22474,40043.5,83,0,PEC 
1,117,116,79,57,33801,7035.6,35,0,PEC 
1,117,118,129,29,1494,26002.6,92,0,PEC 
1,118,95,43,47,43300,40328.2,72,0,PEC 
1,122,112,25,27,2299,33227.8,81,0,PEC 
1,123,121,97,47,21000,9081.9,74,0,PEC 
1,125,107,5,20,11921,4290.6,15,0,PEC 
1,127,114,88,9,10987,53505.5,181,0,PEC 
1,129,104,27,17,24967,74083.8,131,0,PEC 
1,130,127,89,45,43651,57040.4,125,0,PEC 
1,133,106,62,23,37407,68383.2,117,0,PEC 
1,134,112,88,88,41164,11536.7,39,0,PEC 
1,134,123,43,73,21895,29113.9,52,0,PEC 
1,136,135,83,1,25485,10229.5,24,0,PEC 
1,137,127,92,53,23666,31799.4,159,0,PEC 
1,137,127,136,53,23666,20553.5,58,0,PEC 
1,138,133,145,29,54946,31010.1,113,0,PEC 
1,140,122,140,39,51195,5612.8,11,0,PEC 
1,140,122,39,39,51195,79944.9,186,0,PEC 
1,144,119,124,29,1493,29302,118,0,PEC 
1,144,124,66,54,31366,18546.7,154,0,PEC 
1,144,141,14,24,24015,8258.7,42,0,PEC 
1,145,137,145,42,37851,29361.2,107,0,PEC 
1,145,140,60,22,44465,1657.8,10,0,PEC 
1,146,117,114,81,29123,85919,147,0,PEC 
1,146,117,62,81,29123,101111.2,173,0,PEC 
1,146,129,100,73,31409,40440.6,108,0,PEC 
1,146,129,18,73,31409,62765.2,136,0,PEC 
1,146,134,1,95,43837,15350.4,76,0,PEC 
1,149,124,124,17,25128,32046.5,129,0,PEC 
1,150,140,110,45,29327,27600.4,81,0,PEC 
1,152,148,46,3,42639,49244.8,87,0,PEC 
1,153,142,89,27,42569,69363.8,152,0,PEC 
1,153,145,110,23,11231,5127.7,15,0,PEC 
1,156,132,1,29,54951,10299,51,0,PEC 
1,157,129,137,55,54296,13841.8,61,0,PEC 
1,157,129,62,55,54296,5868.8,10,0,PEC 
1,159,147,97,53,9149,1471.6,12,0,PEC 
1,161,152,114,45,39812,74243.1,127,0,PEC 
1,161,153,92,1,39536,28591.1,143,0,PEC 
1,162,152,36,62,20061,43705.2,153,0,PEC 
1,164,139,147,47,41478,63262.8,127,0,PEC 
1,165,160,133,5,45124,19292.2,40,0,PEC 
1,167,149,151,6,29972,11732.3,59,0,PEC 
1,167,149,147,73,52597,44851.8,90,0,PEC 
1,167,157,68,10,30662,26717.4,115,0,PEC 
1,167,157,100,10,30662,18334.1,49,0,PEC 
