saleOrderAttributes_SK,orderDate_SK,saleDate_SK,product_SK,customer_SK,invoiceID,amt,qty,discounted,division
37,2158,1,4,97,12754,851.5,3,0,TPCE
37,2158,1,104,90,17163,3820.1,11,0,TPCE
37,2158,1,29,90,17163,8290.3,19,0,TPCE
37,2158,1,38,19,253,7306.4,17,0,TPCE
37,2158,1,38,97,12754,859.6,2,0,TPCE
37,2158,1,41,28,14966,3732.8,16,0,TPCE
37,2158,1,41,97,18961,3966.1,17,0,TPCE
37,2158,1,130,28,14966,2825.1,10,0,TPCE
37,2158,1,17,19,253,9132.3,18,0,TPCE
37,2158,1,48,90,17163,1983.2,7,0,TPCE
37,2158,1,26,19,253,2461,6,0,TPCE
37,2158,1,111,97,18961,681,2,0,TPCE
37,2158,1,28,97,12754,5655,10,0,TPCE
37,2158,1,28,97,18961,1131,2,0,TPCE
37,2158,1,19,28,14966,8765.5,19,0,TPCE
37,2158,1,32,97,12754,3507.4,6,0,TPCE
37,2158,1,138,90,17163,4307.7,19,0,TPCE
37,2158,1,33,90,17163,3451.2,20,0,TPCE
37,2158,1,33,19,253,3451.2,20,0,TPCE
37,2158,1,21,97,18961,4477.4,8,0,TPCE
37,2158,1,16,97,12754,2475,5,0,TPCE
37,2158,1,15,19,253,2555.3,13,0,TPCE
37,2158,1,122,97,12754,1980.2,4,0,TPCE
37,2158,1,52,19,253,7258.9,14,0,TPCE
37,2158,1,99,19,253,1054.6,3,0,TPCE
37,2158,2,61,16,2176,494.9,3,0,TPCE
37,2158,2,139,66,5841,4588,9,0,TPCE
37,2158,2,4,66,5841,851.5,3,0,TPCE
37,2158,2,104,35,6993,4514.6,13,0,TPCE
37,2158,2,29,16,2176,8290.3,19,0,TPCE
37,2158,2,116,16,2176,10517.9,18,0,TPCE
37,2158,2,135,35,6993,3188.7,9,0,TPCE
37,2158,2,51,35,6993,3176.8,20,0,TPCE
37,2158,2,51,48,10528,953,6,0,TPCE
37,2158,2,51,16,2176,1429.6,9,0,TPCE
37,2158,2,94,48,10528,1153.6,4,0,TPCE
37,2158,2,95,48,10528,1153.6,4,0,TPCE
37,2158,2,73,48,10528,1618,13,0,TPCE
37,2158,2,73,16,4952,1244.6,10,0,TPCE
37,2158,2,69,66,5841,4412.9,19,0,TPCE
37,2158,2,47,16,2176,7357.4,13,0,TPCE
37,2158,2,154,35,6993,2931.7,6,0,TPCE
37,2158,2,41,66,5841,3266.2,14,0,TPCE
37,2158,2,7,16,2176,4470,15,0,TPCE
37,2158,2,130,48,10528,5650.2,20,0,TPCE
37,2158,2,102,16,2176,6069.1,18,0,TPCE
37,2158,2,17,35,6993,2029.4,4,0,TPCE
37,2158,2,19,16,2176,3229.4,7,0,TPCE
37,2158,2,32,48,10528,9353.1,16,0,TPCE
37,2158,2,138,16,4952,1133.6,5,0,TPCE
37,2158,2,96,16,4952,1505.4,5,0,TPCE
37,2158,2,21,48,10528,5037,9,0,TPCE
37,2158,2,15,48,10528,2162.2,11,0,TPCE
37,2158,3,29,83,13252,3927,9,0,TPCE
37,2158,3,58,72,16657,4729.3,11,0,TPCE
37,2158,3,59,83,13252,3226.7,7,0,TPCE
37,2158,3,90,72,16657,8212.3,18,0,TPCE
37,2158,3,69,68,4811,3019.4,13,0,TPCE
37,2158,3,154,83,13252,6840.5,14,0,TPCE
37,2158,3,130,83,13252,3390.1,12,0,TPCE
37,2158,3,155,72,16657,10944.2,20,0,TPCE
37,2158,3,34,68,4811,5539.8,14,0,TPCE
37,2158,3,19,68,4811,1845.4,4,0,TPCE
37,2158,3,138,68,4811,3627.5,16,0,TPCE
37,2158,3,15,83,13252,3341.5,17,0,TPCE
37,2158,3,15,68,4811,1769,9,0,TPCE
37,2158,4,139,37,407,5607.6,11,0,TPCE
37,2158,4,123,52,12781,3971.4,16,0,TPCE
37,2158,4,123,82,2393,2482.1,10,0,TPCE
37,2158,4,123,71,10977,4219.6,17,0,TPCE
