customer_SK,saleDate_SK,orderDate_SK,saleOrderAttributes_SK,amt,qty
1,3,4,9,46140.0,100
1,6,13,33,16035.6,69
1,8,36,1,32729.3,56
1,9,37,20,46945.3,123
1,9,37,29,22463.1,44
1,10,15,30,44880.7,88
1,12,19,7,17587.4,47
1,12,19,34,75315.5,165
1,13,33,32,6785.9,14
1,14,25,11,21039.9,36
1,14,25,20,54561.4,107
1,15,19,25,56548.1,101
1,16,24,7,19083.9,51
1,16,24,16,81238.8,139
1,16,24,25,34506.2,61
1,17,28,14,29235.5,50
1,17,28,23,38236.8,154
1,22,21,32,21002.4,105
1,24,46,6,24389.7,124
1,24,46,24,2617.9,13
1,26,46,7,15893.5,70
1,27,36,22,67261.4,158
1,29,32,4,9145.7,32
1,29,32,13,59113.2,200
1,29,32,31,42571.3,100
1,30,55,13,50005.4,177
1,31,34,2,20007.0,70
1,33,32,18,17658.3,61
1,33,32,27,30054.1,182
1,37,59,23,29184.3,78
1,38,50,9,55657.4,241
1,38,50,27,14044.4,24
1,40,44,23,58831.9,166
1,40,44,32,24286.9,85
1,41,47,3,65033.8,191
1,41,47,12,64842.1,183
1,42,71,26,79039.9,155
1,42,71,35,30875.1,187
1,43,67,32,33707.5,118
1,44,64,29,7387.8,26
1,45,55,20,26351.8,134
1,49,55,10,36987.3,149
1,50,76,20,42562.7,144
1,52,77,32,130138.6,284
1,54,66,3,31848.0,66
1,55,69,6,94643.5,190
1,55,69,15,12214.2,43
1,55,69,24,112248.3,192
1,55,69,33,32087.8,159
1,56,60,9,45888.1,90
1,56,60,36,12523.5,42
1,57,79,23,13370.4,109
1,58,68,10,96459.6,193
1,58,68,28,53141.2,186
1,59,71,4,72835.7,143
1,59,71,31,62390.3,292
1,61,73,20,36750.8,183
1,62,85,18,80055.6,137
1,63,81,24,18671.8,93
1,63,81,33,45596.0,153
1,65,88,16,91136.3,189
1,65,88,34,103448.3,177
1,66,71,20,60712.4,148
1,67,92,17,38696.1,141
1,67,92,26,34408.7,80
1,67,92,35,48915.8,106
1,68,84,9,10130.4,35
1,68,84,18,37186.5,73
1,69,70,5,84031.7,281
1,71,96,2,38301.1,134
1,72,89,4,41373.9,76
1,72,89,13,25567.5,130
1,72,89,31,96297.4,172
1,73,93,8,17666.1,107
1,73,93,26,49264.7,161
1,74,99,7,61364.5,105
1,75,93,12,22926.7,72
1,75,93,30,58254.9,203
1,76,85,4,30107.7,59
1,77,85,7,32862.5,72
1,77,85,16,48704.2,143
1,77,85,25,68286.4,148
1,78,103,3,11082.8,24
1,80,86,26,37487.8,151
1,81,88,3,28646.5,49
1,81,88,30,18612.9,37
1,82,87,9,76586.1,166
1,83,108,34,6043.0,17
1,84,84,29,26527.6,52
1,85,103,31,85965.9,171
1,88,87,22,67412.1,167
1,91,114,36,29545.1,58
1,95,123,17,7452.3,45
1,95,123,35,41406.3,165
1,96,100,15,133909.7,296
1,97,107,8,56588.7,111
1,98,111,34,8529.2,30
1,100,104,12,32018.2,94
1,102,105,21,33108.6,164
1,104,107,9,62764.0,126
1,106,105,31,61274.8,123
1,107,124,3,34853.8,127
1,107,124,30,33390.6,67
1,108,128,9,15347.5,76
1,108,128,18,56059.0,110
1,109,111,4,23194.7,116
1,109,111,13,97765.1,172
1,111,134,31,4001.9,14
1,112,122,5,19119.7,60
1,113,120,30,24820.1,123
1,114,139,17,42976.4,185
1,114,139,35,38807.2,194
1,115,121,36,27579.9,81
1,116,140,17,52658.3,93
1,117,142,3,24106.1,96
1,117,142,12,14020.3,44
1,118,126,4,7492.4,38
1,121,121,28,31617.0,91
1,122,125,32,18392.2,92
1,123,125,32,31088.3,154
1,126,139,22,49664.0,168
1,128,153,9,78915.1,157
1,128,153,18,85945.6,150
1,128,153,27,9941.4,40
1,129,139,6,82588.1,162
1,133,138,9,78337.0,184
1,134,136,3,52803.0,186
1,135,136,1,10229.5,24
1,136,153,6,53831.5,182
1,137,166,29,99043.9,175
1,138,167,29,21441.2,75
1,139,139,11,36526.4,80
1,139,139,20,44143.7,190
1,140,165,25,14490.1,30
1,145,170,30,38196.3,76
1,146,158,25,66343.3,132
1,146,158,34,61639.0,181
1,147,147,11,5673.1,16
1,147,147,20,28306.9,50
1,147,147,29,49290.5,108
1,148,147,19,12291.3,43
1,151,164,2,25355.2,101
1,151,164,11,3436.4,12
1,152,172,20,43825.8,86
1,152,172,29,16992.0,57
1,153,161,1,28591.1,143
1,155,158,24,105083.6,320
1,156,167,33,8769.4,19
1,157,165,5,125001.9,282
1,158,182,11,57839.0,141
1,158,182,20,73926.4,162
1,159,182,1,87605.6,172
1,160,162,13,67858.9,135
1,160,162,22,14814.4,121
1,161,182,36,4832.7,17
1,163,170,23,9672.3,27
1,164,167,8,44322.9,108
1,164,167,35,34307.0,125
1,166,171,1,55746.4,179
1,166,171,28,44712.6,98
1,167,188,4,18790.7,59
1,168,175,14,65223.1,159
1,168,175,23,39272.0,139
1,169,180,16,21142.0,91
1,169,180,34,24915.1,44
1,170,175,15,48052.0,234
1,170,175,24,43838.7,75
1,172,179,13,16264.1,81
1,173,190,26,18827.4,83
1,174,179,18,101723.7,174
1,176,189,8,72838.1,143
1,176,189,17,5792.5,35
1,177,181,1,4244.7,21
1,177,181,10,1824.1,11
1,178,181,3,97975.0,180
1,178,181,12,48222.6,100
1,178,181,21,9553.7,30
1,180,195,23,25203.2,74
1,181,187,25,13550.0,82
1,181,187,34,99909.0,209
1,182,183,3,113934.8,300
1,184,199,2,26641.5,132
1,186,204,29,91995.5,169
1,187,210,15,54565.8,191
1,188,215,31,105774.7,181
1,189,205,28,12318.5,53
1,190,207,19,56342.7,159
1,191,214,10,21333.8,52
1,191,214,19,19642.0,45
1,191,214,28,2424.1,12
1,192,215,27,49124.3,173
1,192,215,36,33930.6,58
1,194,202,5,2631.7,13
1,197,200,26,34412.4,101
1,201,215,19,21389.5,106
1,202,210,3,36437.5,107
1,203,207,15,14734.9,74
1,203,207,33,20800.9,103
1,204,232,4,100519.3,172
1,204,232,22,7013.2,12
1,206,211,34,7682.6,18
1,209,222,1,5112.0,26
1,209,222,10,25392.5,127
1,210,239,21,28303.7,50
1,211,213,14,26544.7,117
1,212,236,27,145036.4,321
1,212,236,36,77963.8,241
1,214,235,5,31673.3,56
1,214,235,23,58108.7,164
1,215,231,9,8212.3,20
1,216,222,1,62034.8,185
1,218,246,3,34875.1,70
1,218,246,21,94833.6,186
1,220,233,8,4383.3,10
1,220,233,17,22460.4,60
1,221,242,36,34860.7,127
1,223,252,1,4118.0,11
1,223,252,28,26867.9,64
1,225,249,26,68254.9,137
1,226,254,11,66613.9,119
1,226,254,20,105204.5,180
1,228,251,19,53638.9,119
1,229,245,31,49306.4,113
1,232,231,1,71380.8,140
1,232,231,10,38725.2,137
1,233,259,26,26566.5,161
1,234,241,33,108669.2,273
1,235,262,36,49152.9,198
1,236,252,12,108129.3,185
1,237,253,22,51528.5,111
1,238,251,10,15634.9,55
1,238,251,19,43545.8,77
1,241,247,18,56610.0,104
1,241,247,27,4123.3,15
1,241,247,36,11387.8,49
1,243,252,24,6063.7,30
1,244,250,3,55455.0,115
1,248,264,32,23607.8,196
1,249,275,17,14170.9,72
1,249,275,26,40829.7,137
1,249,275,35,20814.5,103
1,250,279,23,13782.8,27
1,250,279,32,7647.5,22
1,252,278,23,9041.7,22
1,255,283,26,16606.9,38
1,257,262,4,20842.0,106
1,257,262,13,18326.6,38
1,258,275,11,112636.4,210
1,259,288,36,47659.1,192
1,262,275,29,23292.5,67
1,263,264,1,93384.4,165
1,263,264,28,14598.2,29
1,264,266,16,29107.8,103
1,264,266,25,67795.2,209
1,264,266,34,20000.2,100
1,265,279,12,27059.0,109
1,266,277,29,84248.3,196
1,267,296,15,8253.9,50
1,270,296,1,81580.8,160
1,270,296,10,9069.2,39
1,271,279,7,52023.3,176
1,271,279,25,34501.2,59
1,272,299,9,95001.1,197
1,273,281,4,19663.3,100
1,273,281,22,48589.7,168
1,274,291,4,74282.1,161
1,274,291,13,104675.3,187
1,274,291,22,37421.1,165
1,278,299,9,15915.0,80
1,278,299,36,4624.1,23
1,280,290,9,41985.7,92
1,280,290,18,10989.0,31
1,280,290,27,45824.1,105
1,281,302,10,32193.2,86
1,282,301,2,61367.8,105
1,283,283,13,12381.2,75
1,284,297,12,3634.1,16
1,284,297,21,88590.5,192
1,284,297,30,53715.1,188
1,285,301,10,145429.2,376
1,285,301,28,53795.6,107
1,286,296,5,13276.1,26
1,287,315,4,9296.6,46
1,290,304,13,81220.4,198
1,290,304,31,23966.0,41
1,291,291,34,8686.6,30
1,292,317,16,32629.7,64
1,294,321,11,9726.4,28
1,295,318,7,4141.4,25
1,296,297,7,88705.4,174
1,297,302,4,19329.4,144
1,299,299,34,81586.7,337
1,300,323,22,15692.1,95
1,300,323,31,110503.9,220
1,301,319,29,51956.6,231
1,303,317,18,6803.6,30
