orderDate_SK,orderDate_NK,order_calendarYear,order_calendarQuarter,order_calendarMonth,order_calendarWeek,order_calendarDay,order_fiscalYear,order_fiscalQuarter,order_fiscalMonth,order_fiscalWeek,order_fiscalDay
1,2004-12-02,2004,4,12,1,02,2004,4,12,1,02
2,2004-12-04,2004,4,12,1,04,2004,4,12,1,04
3,2004-12-05,2004,4,12,1,05,2004,4,12,1,05
4,2004-12-06,2004,4,12,1,06,2004,4,12,1,06
5,2004-12-07,2004,4,12,1,07,2004,4,12,1,07
6,2004-12-08,2004,4,12,2,08,2004,4,12,2,08
7,2004-12-09,2004,4,12,2,09,2004,4,12,2,09
8,2004-12-10,2004,4,12,2,10,2004,4,12,2,10
9,2004-12-11,2004,4,12,2,11,2004,4,12,2,11
10,2004-12-12,2004,4,12,2,12,2004,4,12,2,12
11,2004-12-13,2004,4,12,2,13,2004,4,12,2,13
12,2004-12-14,2004,4,12,2,14,2004,4,12,2,14
13,2004-12-15,2004,4,12,3,15,2004,4,12,3,15
14,2004-12-16,2004,4,12,3,16,2004,4,12,3,16
15,2004-12-17,2004,4,12,3,17,2004,4,12,3,17
16,2004-12-18,2004,4,12,3,18,2004,4,12,3,18
17,2004-12-19,2004,4,12,3,19,2004,4,12,3,19
18,2004-12-20,2004,4,12,3,20,2004,4,12,3,20
19,2004-12-21,2004,4,12,3,21,2004,4,12,3,21
20,2004-12-22,2004,4,12,4,22,2004,4,12,4,22
21,2004-12-23,2004,4,12,4,23,2004,4,12,4,23
22,2004-12-24,2004,4,12,4,24,2004,4,12,4,24
23,2004-12-25,2004,4,12,4,25,2004,4,12,4,25
24,2004-12-26,2004,4,12,4,26,2004,4,12,4,26
25,2004-12-27,2004,4,12,4,27,2004,4,12,4,27
26,2004-12-28,2004,4,12,4,28,2004,4,12,4,28
27,2004-12-29,2004,4,12,5,29,2004,4,12,5,29
28,2004-12-30,2004,4,12,5,30,2004,4,12,5,30
29,2004-12-31,2004,4,12,5,31,2004,4,12,5,31
30,2005-01-01,2005,1,01,1,01,2005,1,01,1,01
31,2005-01-02,2005,1,01,1,02,2005,1,01,1,02
32,2005-01-03,2005,1,01,1,03,2005,1,01,1,03
33,2005-01-04,2005,1,01,1,04,2005,1,01,1,04
34,2005-01-05,2005,1,01,1,05,2005,1,01,1,05
35,2005-01-06,2005,1,01,1,06,2005,1,01,1,06
36,2005-01-07,2005,1,01,1,07,2005,1,01,1,07
37,2005-01-08,2005,1,01,2,08,2005,1,01,2,08
38,2005-01-09,2005,1,01,2,09,2005,1,01,2,09
39,2005-01-10,2005,1,01,2,10,2005,1,01,2,10
40,2005-01-11,2005,1,01,2,11,2005,1,01,2,11
41,2005-01-12,2005,1,01,2,12,2005,1,01,2,12
42,2005-01-13,2005,1,01,2,13,2005,1,01,2,13
43,2005-01-14,2005,1,01,2,14,2005,1,01,2,14
44,2005-01-15,2005,1,01,3,15,2005,1,01,3,15
45,2005-01-16,2005,1,01,3,16,2005,1,01,3,16
46,2005-01-17,2005,1,01,3,17,2005,1,01,3,17
47,2005-01-18,2005,1,01,3,18,2005,1,01,3,18
48,2005-01-19,2005,1,01,3,19,2005,1,01,3,19
49,2005-01-20,2005,1,01,3,20,2005,1,01,3,20
50,2005-01-21,2005,1,01,3,21,2005,1,01,3,21
51,2005-01-22,2005,1,01,4,22,2005,1,01,4,22
52,2005-01-23,2005,1,01,4,23,2005,1,01,4,23
53,2005-01-24,2005,1,01,4,24,2005,1,01,4,24
54,2005-01-25,2005,1,01,4,25,2005,1,01,4,25
55,2005-01-26,2005,1,01,4,26,2005,1,01,4,26
56,2005-01-27,2005,1,01,4,27,2005,1,01,4,27
57,2005-01-28,2005,1,01,4,28,2005,1,01,4,28
