invoiceID,customerID,prodID,saleDate,amt,qty,discounted
18,34,1,2010-05-13,19301.49,117,0
161,34,1,2008-01-19,31509.27,191,0
172,26,1,2006-06-26,2309.58,14,0
331,34,1,2007-05-07,5938.92,36,0
525,1,1,2009-09-24,6598.8,40,0
550,40,1,2009-03-19,9073.35,55,0
592,9,1,2007-10-09,1649.7,10,0
616,33,1,2009-01-02,13362.57,81,0
632,7,1,2007-02-19,7093.71,43,0
858,6,1,2010-04-25,10558.08,64,0
882,30,1,2009-09-18,19136.52,116,0
1210,2,1,2008-12-08,22600.89,137,0
1211,11,1,2007-04-08,3959.28,24,0
1220,2,1,2007-12-08,23590.71,143,0
1253,30,1,2010-05-10,4949.1,30,0
1291,10,1,2007-05-05,17981.73,109,0
1309,14,1,2008-01-09,26230.23,159,0
1316,14,1,2005-01-09,27714.96,168,0
1370,38,1,2006-09-30,30684.42,186,0
1464,16,1,2008-05-30,25900.29,157,0
1483,16,1,2008-08-15,26560.17,161,0
1513,1,1,2010-08-01,28539.81,173,0
1522,18,1,2006-01-01,21446.1,130,0
1566,17,1,2005-12-29,1814.67,11,0
1610,38,1,2007-08-28,10723.05,65,0
1626,22,1,2007-06-06,18641.61,113,0
1744,28,1,2008-01-29,10558.08,64,0
1870,19,1,2005-07-29,18476.64,112,0
1947,9,1,2006-06-28,1814.67,11,0
2167,21,1,2008-11-04,10888.02,66,0
2188,34,1,2010-07-18,2804.49,17,0
2210,20,1,2009-04-30,20456.28,124,0
2256,11,1,2005-12-31,17981.73,109,0
2335,40,1,2009-05-13,8248.5,50,0
2404,7,1,2007-07-11,22270.95,135,0
2413,9,1,2010-05-10,6598.8,40,0
2463,26,1,2010-06-18,13692.51,83,0
2482,7,1,2005-11-01,30849.39,187,0
2489,26,1,2009-02-22,16826.94,102,0
2567,12,1,2009-05-05,23590.71,143,0
2699,16,1,2008-08-01,9403.29,57,0
2840,29,1,2010-03-20,7423.65,45,0
2886,5,1,2005-11-13,16661.97,101,0
3211,29,1,2008-05-26,19466.46,118,0
3219,7,1,2010-01-21,14682.33,89,0
3234,36,1,2005-03-06,4454.19,27,0
3332,14,1,2007-04-03,31179.33,189,0
3409,40,1,2010-05-27,27714.96,168,0
